Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,72.6,0,0,110,119.0804,2.258811,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,1.419322,0,480.8804,72.6,0,0,109.9637,119.0804,2.267853,180.936835804678,180.936835804296,0.000371948561764545,14.7811644983605,1.809368,0.000003719485,89.9999,89.9999,0.00904684,0.00000001859742
0.02,B,0.02,0.0131013,0,1.344612,0,527.7512,72.58337,0.0288049,0,109.9273,119.0804,2.276894,201.749285208024,201.749285207611,0.000408273142122999,15.1609365234766,3.826861,0.000007802217,89.9999,89.9999,0.03722798,0.00000007620593
0.03,B,0.03,0.01343791,0,1.337893,0,552.05,72.55591,0.03015264,0,109.891,119.0804,2.285936,212.612210291437,212.612210291008,0.000427232519288414,15.8318433261544,5.952983,0.00001207454,89.9999,89.9999,0.08612721,0.0000001755897
0.04,B,0.04,0.01403257,0,1.326539,0,553.777,72.5262,0.03260124,0,109.8546,119.0804,2.294977,213.477549523268,213.477549522837,0.000428742821468421,16.7517524983355,8.087758,0.00001636197,89.9999,89.9999,0.1563309,0.0000003177723
0.05,B,0.05,0.01484794,0,1.31194,0,555.5041,72.49609,0.03609815,0,109.8183,119.0804,2.304019,214.344488175247,214.344488174815,0.000430255916834338,17.8853840321149,10.2312,0.00002066453,89.9999,89.9999,0.2479257,0.0000005029048
0.05999999,B,0.05999999,0.01585274,0,1.295308,0,557.2312,72.46589,0.04062737,0,109.7819,119.0804,2.31306,215.212033394129,215.212033393696,0.00043177006533457,19.1978188719477,12.38332,0.00002498223,89.9999,89.9999,0.3609983,0.0000007311386
0.06999999,B,0.06999999,0.01701602,0,1.277668,0,558.9583,72.43559,0.04617106,0,109.7456,119.0804,2.322102,216.080189558343,216.080189557909,0.000433285286465218,20.6577149975062,14.54412,0.00002931508,89.9999,89.9999,0.4956355,0.000001002625
0.07999999,B,0.07999999,0.01831001,0,1.259779,0,560.6855,72.4052,0.05271151,0,109.7092,119.0804,2.331143,216.948976415416,216.94897641498,0.000434801602833965,22.2385846929836,16.71361,0.0000336631,89.9999,89.9999,0.6519241,0.000001317516
0.08999999,B,0.08999999,0.01971123,0,1.242151,0,562.4127,72.37471,0.06023283,0,109.6729,119.0804,2.340185,217.818397697152,217.818397696715,0.000436319032818272,23.9188157594678,18.89179,0.00003802629,89.9999,89.9999,0.8299511,0.000001675963
